id_municipio,id_estacao,estacao,data_fundacao,latitude,longitude,altitude
4314902,A801,Porto Alegre,2000-09-22,-30.05361111,-51.17472221,41.18
4315602,A802,Rio Grande,2001-11-16,-32.07888888,-52.16777777,4.92
4316907,A803,Santa Maria,2001-11-26,-29.72499999,-53.72055554,103.1
4317103,A804,Santana Do Livramento,2001-11-22,-30.75055555,-55.40138888,196
4317806,A805,Santo Augusto,2001-12-05,-27.854345,-53.791179,489.67
4321501,A808,Torres,2006-06-01,-29.35027777,-49.73333333,8.44
4322400,A809,Uruguaiana,2006-09-28,-29.83987,-57.081899,74.29
4317202,A810,Santa Rosa,2006-11-15,-27.890463,-54.480014,272.84
4304507,A811,Cangucu,2007-01-24,-31.40333333,-52.70083333,446.81
4302808,A812,Cacapava Do Sul,2006-06-22,-30.54527777,-53.46694443,420.82
4315701,A813,Rio Pardo,2006-09-30,-29.87222221,-52.38194443,106.99
4300406,A826,Alegrete,2006-09-28,-29.709083,-55.525486,120.88
4301602,A827,Bage,2007-01-04,-31.34777777,-54.01333333,226.19
4307005,A828,Erechim,2006-11-25,-27.65771,-52.305805,777.08
4318622,A829,Sao Jose Dos Ausentes,2006-10-26,-28.748615,-50.057869,1228.59
4318002,A830,Sao Borja,2007-07-21,-28.65,-56.01638888,81.08
4315305,A831,Quarai,2007-10-17,-30.368578,-56.437115,113.05
4318309,A832,Sao Gabriel,2007-07-11,-30.341438,-54.310909,114.89
4317400,A833,Santiago,2009-02-04,-29.191599,-54.885653,390.03
4321600,A834,Tramandai,2008-03-09,-30.01027777,-50.13583333,4.56
4311007,A836,Jaguarao,2007-01-09,-32.53472221,-53.37583332,31.48
4320800,A837,Soledade,2008-03-01,-28.859211,-52.542387,660.44
4303509,A838,Camaqua,2006-12-12,-30.807953,-51.83424,92.3
4314100,A839,Passo Fundo,2006-11-27,-28.226805,-52.403582,680.67
4302105,A840,Bento Goncalves,2006-12-01,-29.164581,-51.534202,623.27
4311304,A844,Lagoa Vermelha,2007-03-02,-28.222381,-51.512845,833.83
4318903,A852,Sao Luiz Gonzaga,2007-07-25,-28.41722221,-54.9625,245.5
4306106,A853,Cruz Alta,2007-05-31,-28.60344,-53.673597,426.69
4308508,A854,Frederico Westphalen,2007-12-14,-27.39555555,-53.42944443,489.42
4313706,A856,Palmeira Das Missoes,2008-02-26,-27.92027777,-53.31805554,614.11
4321352,A878,Mostardas,2008-03-11,-31.24833333,-50.90638888,3.82
4304408,A879,Canela,2008-08-23,-29.36888888,-50.82722221,830.93
4322509,A880,Vacaria,2008-04-26,-28.513602,-50.882738,969.89
4306601,A881,Dom Pedrito,2010-04-23,-31.0025,-54.61805554,150
4321451,A882,Teutonia,2012-10-04,-29.45027777,-51.82416666,80.41
4310009,A883,Ibiruba,2012-12-13,-28.653458,-53.111881,455.27
4303905,A884,Campo Bom,2013-11-29,-29.674293,-51.064042,23.35
4322202,A886,Tupancireta,2016-08-11,-29.0893814,-53.82665025,462
4304663,A887,Capao Do Leao (Pelotas),2019-07-18,-31.8025,-52.40722222,13
4319802,A889,Sao Vicente Do Sul,2016-04-06,-29.70222222,-54.69444444,134
4306908,A893,Encruzilhada Do Sul,2018-03-15,-30.54305555,-52.52472221,427.75
4320404,A894,Serafina Correa,2016-04-01,-28.704806,-51.870751,545
4303608,A897,Cambara Do Sul,2016-11-24,-29.049125,-50.149636,1017
4317301,A899,Santa Vitoria Do Palmar - Barra Do Chui,2008-03-08,-33.742297,-53.372218,7.41
4216503,A815,Sao Joaquim,2008-04-12,-28.27564,-49.934617,1400.06
4209003,A841,Joacaba,2007-09-20,-27.16916666,-51.55888888,767.63
4204806,A860,Curitibanos,2008-02-28,-27.288624,-50.604283,978.1
4209300,A865,Lages,2014-11-06,-27.80222222,-50.33555555,952.7
4204202,A895,Chapeco,2019-02-19,-27.0853111,-52.6357111,679
4203600,A898,Campos Novos,2019-02-15,-27.3886111,-51.21583333,963
